,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Execution,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,,,,,,,,,,,,,,,,,,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank
,IO Period (Min),None,None,None,None,None,None,None,None,None,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,None,None,None,None,None,None,None,None,None,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IO Period (Max),None,None,None,None,None,None,None,None,None,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,None,None,None,None,None,None,None,None,None,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Amortization (Min),25,20,20,25,20,20,20,20,20,25,20,20,25,20,20,20,20,20,20,20,20,20,20,20,20,20,20,25,20,20,25,20,20,20,20,20,25,20,20,25,20,20,20,20,20,20,20,20,20,20,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Amortization (Max),30,25,25,30,25,25,25,25,25,30,25,25,30,25,25,25,25,25,25,25,25,25,25,25,25,25,25,30,25,25,30,25,25,25,25,25,30,25,25,30,25,25,25,25,25,25,25,25,25,25,25,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Prepayment Penalty,Step Down,Step Down,Step Down,Step Down,Step Down,Step Down,Step Down,Step Down,Step Down,Step Down,Step Down,Step Down,Step Down,Step Down,Step Down,Step Down,Step Down,Step Down,Step Down,Step Down,Step Down,Step Down,Step Down,Step Down,Step Down,Step Down,Step Down,Step Down,Step Down,Step Down,Step Down,Step Down,Step Down,Step Down,Step Down,Step Down,Step Down,Step Down,Step Down,Step Down,Step Down,Step Down,Step Down,Step Down,Step Down,Step Down,Step Down,Step Down,Step Down,Step Down,Step Down,Step Down,Step Down,Step Down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fee,0.50% - 1.00%,0.50% - 1.00%,0.50% - 1.00%,0.50% - 1.00%,0.50% - 1.00%,0.50% - 1.00%,0.50% - 1.00%,0.50% - 1.00%,0.50% - 1.00%,0.50% - 1.00%,0.50% - 1.00%,0.50% - 1.00%,0.50% - 1.00%,0.50% - 1.00%,0.50% - 1.00%,0.50% - 1.00%,0.50% - 1.00%,0.50% - 1.00%,0.50% - 1.00%,0.50% - 1.00%,0.50% - 1.00%,0.50% - 1.00%,0.50% - 1.00%,0.50% - 1.00%,0.50% - 1.00%,0.50% - 1.00%,0.50% - 1.00%,0.50% - 1.00%,0.50% - 1.00%,0.50% - 1.00%,0.50% - 1.00%,0.50% - 1.00%,0.50% - 1.00%,0.50% - 1.00%,0.50% - 1.00%,0.50% - 1.00%,0.50% - 1.00%,0.50% - 1.00%,0.50% - 1.00%,0.50% - 1.00%,0.50% - 1.00%,0.50% - 1.00%,0.50% - 1.00%,0.50% - 1.00%,0.50% - 1.00%,0.50% - 1.00%,0.50% - 1.00%,0.50% - 1.00%,0.50% - 1.00%,0.50% - 1.00%,0.50% - 1.00%,0.50% - 1.00%,0.50% - 1.00%,0.50% - 1.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Execution,Credit Union,Credit Union,Credit Union,Credit Union,Credit Union,Credit Union,Credit Union,Credit Union,Credit Union,Credit Union,Credit Union,Credit Union,Credit Union,Credit Union,Credit Union,Credit Union,Credit Union,Credit Union,Credit Union,Credit Union,Credit Union,Credit Union,Credit Union,Credit Union,Credit Union,Credit Union,Credit Union,Credit Union,Credit Union,Credit Union,Credit Union,Credit Union,Credit Union,Credit Union,Credit Union,Credit Union,Credit Union,Credit Union,Credit Union,Credit Union,Credit Union,Credit Union,Credit Union,Credit Union,Credit Union,Credit Union,Credit Union,Credit Union,Credit Union,Credit Union,Credit Union,Credit Union,Credit Union,Credit Union,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Loan Type,Permanent,Permanent,Permanent,Permanent,Permanent,Permanent,Permanent,Permanent,Permanent,Bridge,Bridge,Bridge,Bridge,Bridge,Bridge,Bridge,Bridge,Bridge,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Permanent,Permanent,Permanent,Permanent,Permanent,Permanent,Permanent,Permanent,Permanent,Bridge,Bridge,Bridge,Bridge,Bridge,Bridge,Bridge,Bridge,Bridge,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
